DATE,PNICKUSDM
2005-01-01,14563.75
2005-02-01,15415.6
2005-03-01,16239.9047619048
2005-04-01,16138.3333333333
2005-05-01,17002.25
2005-06-01,16113.1818181818
2005-07-01,14587.5952380952
2005-08-01,14962
2005-09-01,14154.5454545455
2005-10-01,12431.119047619
2005-11-01,12235.0454545455
2005-12-01,13490.45
2006-01-01,14660.8095238095
2006-02-01,14974.5
2006-03-01,14925.4782608696
2006-04-01,18028.8888888889
2006-05-01,21131.3333333333
2006-06-01,20585.9090909091
2006-07-01,26185.7142857143
2006-08-01,30468.8636363636
2006-09-01,29702.619047619
2006-10-01,32551.1363636364
2006-11-01,31891.5909090909
2006-12-01,34400.5263157895
2007-01-01,36821.5909090909
2007-02-01,41078.25
2007-03-01,46125.2272727273
2007-04-01,49956.5789473684
2007-05-01,51783.3333333333
2007-06-01,41551.6666666667
2007-07-01,33400.2272727273
2007-08-01,27649.6363636364
2007-09-01,29548.4
2007-10-01,31156
2007-11-01,30505.6363636364
2007-12-01,26053.5555555556
2008-01-01,27774.7727272727
2008-02-01,28064.9523809524
2008-03-01,31093.0526315789
2008-04-01,28776.8181818182
2008-05-01,25656.5
2008-06-01,22562.5714285714
2008-07-01,20106.9565217391
2008-08-01,19111.8
2008-09-01,17781.8636363636
2008-10-01,12144.8695652174
2008-11-01,10776.5
2008-12-01,9846.92857142857
2009-01-01,11562.9523809524
2009-02-01,10410.75
2009-03-01,9710.72727272727
2009-04-01,11331.6
2009-05-01,12720.0789473684
2009-06-01,14944.3636363636
2009-07-01,16017.3913043478
2009-08-01,19375.925
2009-09-01,17404.6363636364
2009-10-01,18489.4772727273
2009-11-01,16911.3333333333
2009-12-01,17121.619047619
2010-01-01,18405.55
2010-02-01,19060.55
2010-03-01,22467.1739130435
2010-04-01,26028.5
2010-05-01,21930
2010-06-01,19411.2954545455
2010-07-01,19548.5227272727
2010-08-01,21448.7857142857
2010-09-01,22690.1363636364
2010-10-01,23793.6785714286
2010-11-01,22836.2272727273
2010-12-01,24099.5714285714
2011-01-01,25621.225
2011-02-01,28412.175
2011-03-01,26710.347826087
2011-04-01,26332.1666666667
2011-05-01,24164.55
